,PL electricity HMV final use HMV 2025,PL electricity LV final use LV 2025
277,10211.849315068494,7409.349315068493
278,10011.438356164384,7263.938356164383
279,9820.136986301372,7125.13698630137
280,9756.369863013699,7078.869863013698
281,9628.835616438357,6986.335616438355
282,9637.945205479453,6992.945205479452
283,9865.68493150685,7158.184931506848
284,10066.09589041096,7303.595890410958
285,9291.78082191781,6741.780821917808
286,8471.91780821918,6146.917808219178
287,7916.232876712329,5743.732876712328
288,7551.8493150684935,5479.349315068493
289,7360.547945205481,5340.54794520548
290,7333.219178082192,5320.719178082192
291,7187.465753424658,5214.965753424657
292,7260.342465753425,5267.842465753424
293,8344.383561643837,6054.3835616438355
294,9391.986301369863,6814.486301369862
295,9893.013698630139,7178.013698630137
296,9984.109589041098,7244.109589041096
297,9947.671232876713,7217.671232876713
298,10075.205479452055,7310.205479452055
299,10129.863013698632,7349.86301369863
300,10102.534246575344,7330.034246575342
301,9929.452054794521,7204.45205479452
302,9756.369863013699,7078.869863013698
303,9628.835616438357,6986.335616438355
304,9501.301369863013,6893.801369863013
305,9382.876712328767,6807.876712328767
306,9473.972602739726,6873.9726027397255
307,9665.27397260274,7012.773972602739
308,9856.575342465754,7151.575342465753
309,9209.794520547945,6682.294520547945
310,8426.369863013699,6113.869863013699
311,7834.246575342466,5684.246575342465
312,7478.972602739726,5426.4726027397255
313,7260.342465753425,5267.842465753424
314,7160.136986301371,5195.13698630137
315,6914.178082191781,5016.678082191781
316,6750.205479452055,4897.7054794520545
317,7178.356164383562,5208.356164383562
318,7916.232876712329,5743.732876712328
319,8553.90410958904,6206.404109589041
320,8945.616438356165,6490.616438356164
321,9045.82191780822,6563.321917808219
322,9109.589041095891,6609.58904109589
323,9054.931506849316,6569.931506849314
324,8963.835616438357,6503.835616438356
325,8745.205479452055,6345.2054794520545
326,8471.91780821918,6146.917808219178
327,8289.72602739726,6014.72602739726
328,8153.0821917808225,5915.582191780822
329,8143.972602739726,5908.9726027397255
330,8207.739726027397,5955.239726027397
331,8408.150684931508,6100.6506849315065
332,8754.315068493152,6351.81506849315
333,8298.835616438357,6021.335616438356
334,7633.835616438357,5538.835616438356
335,7023.4931506849325,5095.993150684932
336,7560.958904109589,5485.958904109589
337,7360.547945205481,5340.54794520548
338,7387.876712328768,5360.376712328767
339,7478.972602739726,5426.4726027397255
340,7478.972602739726,5426.4726027397255
341,8298.835616438357,6021.335616438356
342,9246.232876712329,6708.732876712328
343,9883.90410958904,7171.404109589041
344,10184.520547945207,7389.520547945206
345,10357.602739726028,7515.102739726027
346,10539.794520547946,7647.294520547945
347,10694.657534246575,7759.657534246575
348,10703.767123287673,7766.267123287671
349,10485.136986301372,7607.63698630137
350,10312.054794520547,7482.054794520547
351,10111.64383561644,7336.643835616439
352,9965.890410958906,7230.890410958904
353,9820.136986301372,7125.13698630137
354,9965.890410958906,7230.890410958904
355,10594.452054794521,7686.95205479452
356,10148.082191780823,7363.0821917808225
357,9346.438356164384,6781.438356164384
358,8563.013698630137,6213.013698630136
359,7970.890410958905,5783.390410958904
360,7642.945205479452,5545.445205479452
361,7451.643835616438,5406.643835616438
362,7378.767123287672,5353.767123287671
363,7442.534246575343,5400.034246575342
364,7469.86301369863,5419.863013698629
365,8262.397260273974,5994.897260273972
366,9337.328767123287,6774.8287671232865
367,10002.328767123288,7257.328767123287
368,10348.493150684932,7508.493150684931
369,10448.698630136987,7581.198630136986
370,10621.780821917808,7706.780821917807
371,10630.890410958906,7713.390410958904
372,10621.780821917808,7706.780821917807
373,10412.260273972603,7554.760273972603
374,10266.506849315068,7449.006849315068
375,10011.438356164384,7263.938356164383
376,9829.246575342466,7131.746575342465
377,9738.150684931506,7065.6506849315065
378,9874.794520547946,7164.7945205479455
379,10539.794520547946,7647.294520547945
380,10138.972602739726,7356.4726027397255
381,9264.45205479452,6721.952054794519
382,8553.90410958904,6206.404109589041
383,7925.342465753425,5750.342465753424
384,7624.726027397261,5532.22602739726
385,7460.753424657534,5413.253424657533
386,7415.2054794520545,5380.2054794520545
387,7478.972602739726,5426.4726027397255
388,7460.753424657534,5413.253424657533
389,8207.739726027397,5955.239726027397
390,9200.68493150685,6675.684931506849
391,9856.575342465754,7151.575342465753
392,10202.7397260274,7402.739726027397
393,10284.72602739726,7462.22602739726
394,10503.356164383562,7620.856164383561
395,10539.794520547946,7647.294520547945
396,10576.232876712329,7673.732876712328
397,10330.27397260274,7495.2739726027385
398,10120.753424657534,7343.253424657533
399,9938.561643835617,7211.0616438356155
400,9774.589041095891,7092.08904109589
401,9628.835616438357,6986.335616438355
402,9747.260273972604,7072.260273972603
403,10476.027397260274,7601.027397260273
404,10066.09589041096,7303.595890410958
405,9255.342465753425,6715.342465753424
406,8563.013698630137,6213.013698630136
407,7934.452054794521,5756.95205479452
408,7497.191780821918,5439.691780821917
409,7342.328767123288,5327.328767123287
410,7324.109589041097,5314.109589041096
411,7360.547945205481,5340.54794520548
412,7333.219178082192,5320.719178082192
413,8116.643835616439,5889.143835616438
414,9009.383561643835,6536.8835616438355
415,9710.82191780822,7045.821917808219
416,10056.986301369865,7296.986301369863
417,10211.849315068494,7409.349315068493
418,10403.150684931506,7548.150684931506
419,10439.589041095891,7574.589041095889
420,10485.136986301372,7607.63698630137
421,10312.054794520547,7482.054794520547
422,10148.082191780823,7363.0821917808225
423,9975.0,7237.499999999999
424,9801.91780821918,7111.917808219178
425,9710.82191780822,7045.821917808219
426,9883.90410958904,7171.404109589041
427,10394.041095890412,7541.54109589041
428,9847.465753424658,7144.965753424657
429,9146.027397260275,6636.027397260274
430,8508.356164383562,6173.356164383562
431,7980.000000000001,5790.0
432,7542.739726027397,5472.7397260273965
433,7406.095890410958,5373.595890410958
434,7315.000000000001,5307.5
435,7287.6712328767135,5287.671232876713
436,7078.150684931507,5135.6506849315065
437,7333.219178082192,5320.719178082192
438,7952.671232876713,5770.171232876712
439,8645.0,6272.499999999999
440,9045.82191780822,6563.321917808219
441,9291.78082191781,6741.780821917808
442,9401.09589041096,6821.095890410958
443,9300.890410958904,6748.390410958903
444,9264.45205479452,6721.952054794519
445,8982.054794520549,6517.054794520547
446,8763.424657534248,6358.424657534246
447,8626.780821917808,6259.280821917808
448,8508.356164383562,6173.356164383562
449,8462.808219178083,6140.308219178082
450,8608.561643835617,6246.0616438356155
451,9228.013698630137,6695.513698630136
452,8836.301369863015,6411.301369863013
453,8244.178082191782,5981.678082191781
454,7670.27397260274,5565.273972602739
455,7096.3698630137,5148.869863013699
456,6731.986301369863,4884.486301369862
457,6577.123287671233,4772.123287671232
458,6476.917808219178,4699.4178082191775
459,6431.369863013699,4666.369863013698
460,6185.41095890411,4487.91095890411
461,6185.41095890411,4487.91095890411
462,6604.45205479452,4791.95205479452
463,7105.479452054795,5155.479452054795
464,7624.726027397261,5532.22602739726
465,7961.780821917809,5776.780821917808
466,8071.095890410959,5856.095890410958
467,8061.986301369863,5849.486301369862
468,8052.876712328768,5842.876712328767
469,7879.7945205479455,5717.294520547945
470,7715.821917808219,5598.321917808219
471,7515.41095890411,5452.910958904109
472,7515.41095890411,5452.910958904109
473,7633.835616438357,5538.835616438356
474,7998.219178082192,5803.219178082191
475,8599.452054794521,6239.452054794519
476,8289.72602739726,6014.72602739726
477,7816.0273972602745,5671.027397260274
478,7187.465753424658,5214.965753424657
479,6722.876712328767,4877.876712328767
480,6422.260273972603,4659.760273972603
481,6376.712328767123,4626.712328767123
482,6394.931506849315,4639.931506849314
483,6476.917808219178,4699.4178082191775
484,6695.54794520548,4858.047945205479
485,7697.602739726028,5585.102739726027
486,8818.082191780823,6398.082191780822
487,9492.191780821919,6887.191780821918
488,9829.246575342466,7131.746575342465
489,9893.013698630139,7178.013698630137
490,10038.767123287673,7283.767123287671
491,10056.986301369865,7296.986301369863
492,10047.876712328767,7290.376712328766
493,9838.356164383564,7138.356164383562
494,9665.27397260274,7012.773972602739
495,9483.082191780823,6880.582191780821
496,9355.547945205479,6788.047945205479
497,9228.013698630137,6695.513698630136
498,9537.739726027397,6920.2397260273965
499,10266.506849315068,7449.006849315068
500,9747.260273972604,7072.260273972603
501,8982.054794520549,6517.054794520547
502,8271.506849315068,6001.506849315068
503,7743.150684931507,5618.1506849315065
504,7943.561643835616,5763.561643835616
505,7770.479452054795,5637.979452054794
506,7688.493150684932,5578.493150684931
507,7724.931506849315,5604.931506849314
508,7825.136986301371,5677.63698630137
509,8262.397260273974,5994.897260273972
510,8726.986301369863,6331.986301369862
511,9264.45205479452,6721.952054794519
512,9811.027397260274,7118.527397260274
513,10011.438356164384,7263.938356164383
